fid,id,left,top,right,bottom,¼ö¿Â
"349",1723,126.275,35.075,126.3,35.05,27.176697
"350",1723,126.275,35.075,126.3,35.05,27.230152
"351",1723,126.275,35.075,126.3,35.05,27.158525
"352",1723,126.275,35.075,126.3,35.05,27.165133
"353",1723,126.275,35.075,126.3,35.05,27.214682
"354",1723,126.275,35.075,126.3,35.05,27.117907
"355",1723,126.275,35.075,126.3,35.05,27.143526
"356",1723,126.275,35.075,126.3,35.05,27.188394
"357",1723,126.275,35.075,126.3,35.05,27.082382
"358",1723,126.275,35.075,126.3,35.05,27.116396
"359",1723,126.275,35.075,126.3,35.05,27.161094
"360",1720,126.275,35.15,126.3,35.125,27.246876
"361",1720,126.275,35.15,126.3,35.125,27.27642
"362",1720,126.275,35.15,126.3,35.125,27.315418
"363",1720,126.275,35.15,126.3,35.125,27.226866
"364",1720,126.275,35.15,126.3,35.125,27.255812
"365",1720,126.275,35.15,126.3,35.125,27.303635
"366",1720,126.275,35.15,126.3,35.125,27.225177
"367",1720,126.275,35.15,126.3,35.125,27.241634
"368",1720,126.275,35.15,126.3,35.125,27.295896
"369",13909,127.975,34.725,128,34.7,26.462905
"370",13909,127.975,34.725,128,34.7,26.457353
"371",13909,127.975,34.725,128,34.7,26.447866
"372",13909,127.975,34.725,128,34.7,26.448519
"373",13909,127.975,34.725,128,34.7,26.443507
"374",13909,127.975,34.725,128,34.7,26.435545
"375",13909,127.975,34.725,128,34.7,26.437983
"376",13909,127.975,34.725,128,34.7,26.433361
"377",13909,127.975,34.725,128,34.7,26.426493
"378",13909,127.975,34.725,128,34.7,26.430339
"379",13909,127.975,34.725,128,34.7,26.425999
"380",13909,127.975,34.725,128,34.7,26.419929
"381",3671,126.55,35.6,126.575,35.575,27.2464
"382",3671,126.55,35.6,126.575,35.575,27.239793
"383",3671,126.55,35.6,126.575,35.575,27.235901
"384",3671,126.55,35.6,126.575,35.575,27.229189
"385",3671,126.55,35.6,126.575,35.575,27.261965
"386",3671,126.55,35.6,126.575,35.575,27.254925
"387",3671,126.55,35.6,126.575,35.575,27.255177
"388",3671,126.55,35.6,126.575,35.575,27.251196
"389",3671,126.55,35.6,126.575,35.575,27.273324
"390",3671,126.55,35.6,126.575,35.575,27.264663
"391",3671,126.55,35.6,126.575,35.575,27.267305
"392",3671,126.55,35.6,126.575,35.575,27.267245
"393",9799,127.4,34.55,127.425,34.525,26.878976
"394",9799,127.4,34.55,127.425,34.525,26.875642
"395",9799,127.4,34.55,127.425,34.525,26.871659
"396",9799,127.4,34.55,127.425,34.525,26.86703
"397",9799,127.4,34.55,127.425,34.525,26.865209
"398",9799,127.4,34.55,127.425,34.525,26.861913
"399",9799,127.4,34.55,127.425,34.525,26.858021
"400",9799,127.4,34.55,127.425,34.525,26.853535
"401",9799,127.4,34.55,127.425,34.525,26.852297
"402",9799,127.4,34.55,127.425,34.525,26.849041
"403",9799,127.4,34.55,127.425,34.525,26.845236
"404",9799,127.4,34.55,127.425,34.525,26.840884
"405",13905,127.975,34.825,128,34.8,27.752839
"406",13905,127.975,34.825,128,34.8,27.406514
"407",13905,127.975,34.825,128,34.8,27.017941
"408",13905,127.975,34.825,128,34.8,27.669798
"409",13905,127.975,34.825,128,34.8,27.385819
"410",13905,127.975,34.825,128,34.8,27.030987
"411",13905,127.975,34.825,128,34.8,27.287275
"412",13905,127.975,34.825,128,34.8,27.152031
"413",13905,127.975,34.825,128,34.8,26.932786
"414",13905,127.975,34.825,128,34.8,26.985527
"415",13905,127.975,34.825,128,34.8,26.926878
"416",13905,127.975,34.825,128,34.8,26.806735
"417",9798,127.4,34.575,127.425,34.55,26.926216
"418",9798,127.4,34.575,127.425,34.55,26.922783
"419",9798,127.4,34.575,127.425,34.55,26.918504
"420",9798,127.4,34.575,127.425,34.55,26.913382
"421",9798,127.4,34.575,127.425,34.55,26.90939
"422",9798,127.4,34.575,127.425,34.55,26.905986
"423",9798,127.4,34.575,127.425,34.55,26.90181
"424",9798,127.4,34.575,127.425,34.55,26.896865
"425",9798,127.4,34.575,127.425,34.55,26.893674
"426",9798,127.4,34.575,127.425,34.55,26.890304
"427",9798,127.4,34.575,127.425,34.55,26.886227
"428",9798,127.4,34.575,127.425,34.55,26.881445
"429",9798,127.4,34.575,127.425,34.55,26.878976
"430",9798,127.4,34.575,127.425,34.55,26.875642
"431",9798,127.4,34.575,127.425,34.55,26.871659
