°ÝÀÚ¹øÈ£,¿°ºÐ¿©ºÎ,Æò±Õ¿°ºÐ,¼ö¿Â¿©ºÎ,Æò±Õ¼ö¿Â
GR3_G3E11_Q,Y,31.455225806451615,Y,25.965
GR3_G3E12_Q,Y,32.42587096774193,Y,26.135714285714283
GR3_G3E12_R,Y,32.46016129032258,Y,26.324999999999996
GR3_G3E12_S,Y,32.4536129032258,Y,25.71857142857143
GR3_G3E12_T,Y,32.48448387096774,Y,26.35
GR3_G3E21_P,N,0.0,N,0.0
GR3_G3E21_Q,Y,32.9928064516129,Y,25.894999999999996
GR3_G3E21_S,N,0.0,N,0.0
GR3_F4G12_U,Y,31.479032258064517,Y,24.028666666666663
GR3_F4G12_V,Y,31.722032258064512,Y,24.487368421052633
GR3_F4G12_W,Y,32.061483870967734,Y,24.611428571428576
GR3_F4G12_X,Y,32.19932258064516,N,0.0
GR3_F4H11_Y,Y,32.006677419354844,N,0.0
GR3_F4H12_U,N,0.0,N,0.0
GR3_F4H12_V,N,0.0,N,0.0
GR3_F4H12_W,Y,31.972870967741937,N,0.0
GR3_F4H12_X,Y,31.961451612903225,N,0.0
GR3_F4H12_Y,Y,31.9501935483871,N,0.0
GR3_F4H21_U,Y,31.938903225806452,N,0.0
GR3_F4H21_V,Y,31.927516129032263,N,0.0
GR3_F4H21_X,Y,31.90487096774193,N,0.0
GR3_F4H21_Y,N,0.0,N,0.0
GR3_F4H22_U,Y,31.987999999999992,N,0.0
GR3_F4H22_V,Y,31.755612903225813,N,0.0
GR3_F4H22_W,N,0.0,N,0.0
GR3_F4H22_X,Y,31.673258064516133,N,0.0
GR3_F4H22_Y,Y,31.649354838709677,N,0.0
GR3_G3E11_U,N,0.0,N,0.0
GR3_G3E11_V,Y,31.601774193548387,N,0.0
GR3_G3E12_W,Y,32.91303225806452,N,0.0
GR3_G3E12_X,Y,32.92296774193547,N,0.0
GR3_G3E21_V,Y,33.28451612903226,N,0.0
GR3_G3E21_W,N,0.0,N,0.0
GR3_F4G14_A,Y,31.387967741935476,N,0.0
GR3_F4G14_B,Y,31.630870967741934,N,0.0
GR3_F4G14_C,Y,31.93835483870968,N,0.0
GR3_F4H13_C,N,0.0,N,0.0
GR3_F4H13_D,N,0.0,N,0.0
GR3_F4H13_E,Y,32.1901935483871,N,0.0
GR3_F4H14_A,Y,32.17883870967742,N,0.0
GR3_F4H14_B,Y,32.1676129032258,N,0.0
GR3_F4H14_C,Y,32.156290322580645,N,0.0
GR3_F4H14_D,Y,32.14487096774193,N,0.0
GR3_F4H23_A,Y,32.12235483870968,N,0.0
GR3_F4H23_B,Y,32.11103225806452,N,0.0
GR3_F4H23_C,N,0.0,N,0.0
GR3_F4H23_D,Y,32.08838709677419,N,0.0
GR3_F4H23_E,N,0.0,N,0.0
GR3_F4H24_A,Y,32.06577419354839,N,0.0
GR3_F4H24_B,Y,32.075935483870964,N,0.0
GR3_F4H24_C,N,0.0,N,0.0
GR3_F4H24_D,Y,31.819258064516134,N,0.0
